sales_plan__cpt__customer__code,sales_plan__cpt__customer__name,sales_plan__cpt__customer__sales_channel__name,product__code,product__name,quantity,sales_plan__period,sales_plan__period__month
100011,Customer 1,Sales Channel 1,70019,Tuna Pate 95G,315.19,2020-01-01,1
100011,Customer 1,Sales Channel 1,70020,Fish Pate 95G,236.38,2020-01-01,1
100011,Customer 1,Sales Channel 1,70021,Chili Pate 95G,237.30,2020-01-01,1
100011,Customer 1,Sales Channel 1,70022,Liver Pate 150G,310.61,2020-01-01,1
100011,Customer 1,Sales Channel 1,70023,Ham Pate 150G,253.33,2020-01-01,1
100011,Customer 1,Sales Channel 1,70024,Cajna Pate 150G,251.84,2020-01-01,1
100011,Customer 1,Sales Channel 1,70025,Chicken Pate 150G,367.16,2020-01-01,1
100011,Customer 1,Sales Channel 1,70026,Tuna Pate 150G,244.13,2020-01-01,1
100011,Customer 1,Sales Channel 1,70027,Fish Pate 150G,320.12,2020-01-01,1
100011,Customer 1,Sales Channel 1,70028,Chili Pate 150G,360.00,2020-01-01,1
100011,Customer 1,Sales Channel 1,70042,Spam 150G,319.91,2020-01-01,1
100011,Customer 1,Sales Channel 1,70044,Beef Spam 150G,307.87,2020-01-01,1
100011,Customer 1,Sales Channel 1,80015,Private Label Liver Pate 95G,309.43,2020-01-01,1
100011,Customer 1,Sales Channel 1,80016,Private Label Ham Pate 95G,238.33,2020-01-01,1
100011,Customer 1,Sales Channel 1,80017,Private Label Cajna Pate 95G,379.98,2020-01-01,1
100011,Customer 1,Sales Channel 1,80018,Private Label Chicken Pate 95G,287.77,2020-01-01,1
100011,Customer 1,Sales Channel 1,80019,Private Label Tuna Pate 95G,320.33,2020-01-01,1
100011,Customer 1,Sales Channel 1,80020,Private Label Fish Pate 95G,191.15,2020-01-01,1
100011,Customer 1,Sales Channel 1,80021,Private Label Chili Pate 95G,261.15,2020-01-01,1
100011,Customer 1,Sales Channel 1,80022,Private Label Liver Pate 150G,376.24,2020-01-01,1
100011,Customer 1,Sales Channel 1,80023,Private Label Ham Pate 150G,268.34,2020-01-01,1
100011,Customer 1,Sales Channel 1,80024,Private Label Cajna Pate 150G,292.30,2020-01-01,1
100011,Customer 1,Sales Channel 1,80025,Private Label Chicken Pate 150G,332.44,2020-01-01,1
100011,Customer 1,Sales Channel 1,80026,Private Label Tuna Pate 150G,203.49,2020-01-01,1
100011,Customer 1,Sales Channel 1,80027,Private Label Fish Pate 150G,251.29,2020-01-01,1
100011,Customer 1,Sales Channel 1,80028,Private Label Chili Pate 150G,352.62,2020-01-01,1
100011,Customer 1,Sales Channel 1,80042,Private Label Spam 150G,317.84,2020-01-01,1
100011,Customer 1,Sales Channel 1,80044,Private Label Beef Spam 150G,276.00,2020-01-01,1
100011,Customer 1,Sales Channel 1,70029,Beans With Sausages 400G,293.10,2020-01-01,1
100011,Customer 1,Sales Channel 1,70030,Beans With Bacon 400G,220.78,2020-01-01,1
100011,Customer 1,Sales Channel 1,70031,Lean Beans 400G,357.65,2020-01-01,1
100011,Customer 1,Sales Channel 1,70032,Sarma 400G,175.94,2020-01-01,1
100011,Customer 1,Sales Channel 1,70033,Lean Sarma 400G,278.84,2020-01-01,1
100011,Customer 1,Sales Channel 1,70034,Spaghetti Sauce 400G,229.52,2020-01-01,1
100011,Customer 1,Sales Channel 1,70035,Stuffed Paprika 400G,259.50,2020-01-01,1
100011,Customer 1,Sales Channel 1,70036,Mexican Dish 400G,298.98,2020-01-01,1
100011,Customer 1,Sales Channel 1,70037,Indian Dish 400G,372.40,2020-01-01,1
100011,Customer 1,Sales Channel 1,70038,Carbonara 400G,233.51,2020-01-01,1
100011,Customer 1,Sales Channel 1,70039,Beef Gulash 400G,235.80,2020-01-01,1
100011,Customer 1,Sales Channel 1,70040,Pork Gulash 400G,226.94,2020-01-01,1
100011,Customer 1,Sales Channel 1,80029,Private Label Beans With Sausages 400G,398.56,2020-01-01,1
100011,Customer 1,Sales Channel 1,80030,Private Label Beans With Bacon 400G,166.06,2020-01-01,1
100011,Customer 1,Sales Channel 1,80031,Private Label Lean Beans 400G,323.75,2020-01-01,1
100011,Customer 1,Sales Channel 1,80032,Private Label Sarma 400G,334.91,2020-01-01,1
100011,Customer 1,Sales Channel 1,80033,Private Label Lean Sarma 400G,221.07,2020-01-01,1
100011,Customer 1,Sales Channel 1,80034,Private Label Spaghetti Sauce 400G,311.38,2020-01-01,1
100011,Customer 1,Sales Channel 1,80035,Private Label Stuffed Paprika 400G,267.09,2020-01-01,1
100011,Customer 1,Sales Channel 1,80036,Private Label Mexican Dish 400G,223.64,2020-01-01,1
100011,Customer 1,Sales Channel 1,80037,Private Label Indian Dish 400G,232.08,2020-01-01,1
100011,Customer 1,Sales Channel 1,80038,Private Label Carbonara 400G,316.69,2020-01-01,1
100011,Customer 1,Sales Channel 1,80039,Private Label Beef Gulash 400G,225.36,2020-01-01,1
100011,Customer 1,Sales Channel 1,80040,Private Label Pork Gulash 400G,290.74,2020-01-01,1
100011,Customer 1,Sales Channel 1,50028,Budimska Rf 1Kg,60.09,2020-01-01,1
100011,Customer 1,Sales Channel 1,50029,Budimska Slice 100G,65.51,2020-01-01,1
100011,Customer 1,Sales Channel 1,50030,B Budimska Rf 1Kg,92.00,2020-01-01,1
100011,Customer 1,Sales Channel 1,50031,B Budimska Slice 250G,66.67,2020-01-01,1
100011,Customer 1,Sales Channel 1,60028,Private Label Budimska Rf 1Kg,79.38,2020-01-01,1
100011,Customer 1,Sales Channel 1,60029,Private Label Budimska Slice 100G,73.78,2020-01-01,1
100011,Customer 1,Sales Channel 1,60030,Private Label B Budimska Rf 1Kg,78.52,2020-01-01,1
100011,Customer 1,Sales Channel 1,60031,Private Label B Budimska Slice 250G,84.22,2020-01-01,1
100011,Customer 1,Sales Channel 1,50024,Cajna Rf 1Kg,67.76,2020-01-01,1
100011,Customer 1,Sales Channel 1,50025,Cajna Slice 100G,82.64,2020-01-01,1
100011,Customer 1,Sales Channel 1,50026,B Cajna Rf 1Kg,76.86,2020-01-01,1
100011,Customer 1,Sales Channel 1,50027,B Cajna Slice 250G,91.63,2020-01-01,1
100011,Customer 1,Sales Channel 1,60024,Private Label Cajna Rf 1Kg,64.40,2020-01-01,1
100011,Customer 1,Sales Channel 1,60025,Private Label Cajna Slice 100G,77.03,2020-01-01,1
100011,Customer 1,Sales Channel 1,60026,Private Label B Cajna Rf 1Kg,81.00,2020-01-01,1
100011,Customer 1,Sales Channel 1,60027,Private Label B Cajna Slice 250G,69.79,2020-01-01,1
100011,Customer 1,Sales Channel 1,50036,Pancetta 1Kg,65.77,2020-01-01,1
100011,Customer 1,Sales Channel 1,50037,Pancetta Slice 100G,64.38,2020-01-01,1
100011,Customer 1,Sales Channel 1,60036,Private Label Pancetta 1Kg,70.18,2020-01-01,1
100011,Customer 1,Sales Channel 1,60037,Private Label Pancetta Slice 100G,65.02,2020-01-01,1
100011,Customer 1,Sales Channel 1,50038,Smoked Pork Back 100G,83.72,2020-01-01,1
100011,Customer 1,Sales Channel 1,60038,Private Label Smoked Pork Back 100G,62.05,2020-01-01,1
100011,Customer 1,Sales Channel 1,50032,Kulen Rf 1Kg,79.66,2020-01-01,1
100011,Customer 1,Sales Channel 1,50033,Kulen Slice 100G,72.69,2020-01-01,1
100011,Customer 1,Sales Channel 1,50034,B Kulen Rf 1Kg,101.38,2020-01-01,1
100011,Customer 1,Sales Channel 1,50035,B Kulen Slice 250G,54.08,2020-01-01,1
100011,Customer 1,Sales Channel 1,60032,Private Label Kulen Rf 1Kg,104.56,2020-01-01,1
100011,Customer 1,Sales Channel 1,60033,Private Label Kulen Slice 100G,66.07,2020-01-01,1
100011,Customer 1,Sales Channel 1,60034,Private Label B Kulen Rf 1Kg,59.90,2020-01-01,1
100011,Customer 1,Sales Channel 1,60035,Private Label B Kulen Slice 250G,77.33,2020-01-01,1
100011,Customer 1,Sales Channel 1,50039,Rustik 1Kg,84.25,2020-01-01,1
100011,Customer 1,Sales Channel 1,50040,Rustik Slice 100G,81.21,2020-01-01,1
100011,Customer 1,Sales Channel 1,60039,Private Label Rustik 1Kg,92.81,2020-01-01,1
100011,Customer 1,Sales Channel 1,60040,Private Label Rustik Slice 100G,58.46,2020-01-01,1
100011,Customer 1,Sales Channel 1,70090,Pork Fat 1Kg,845.42,2020-01-01,1
100011,Customer 1,Sales Channel 1,70091,Pork Fat 3Kg,860.88,2020-01-01,1
100011,Customer 1,Sales Channel 1,80090,Private Label Pork Fat 1Kg,1020.13,2020-01-01,1
100011,Customer 1,Sales Channel 1,80091,Private Label Pork Fat 3Kg,1048.64,2020-01-01,1
100011,Customer 1,Sales Channel 1,50009,Pork Ham 1Kg,1453.69,2020-01-01,1
100011,Customer 1,Sales Channel 1,50011,Chicken Ham 1Kg,1850.05,2020-01-01,1
100011,Customer 1,Sales Channel 1,60009,Private Label Pork Ham 1Kg,1440.35,2020-01-01,1
100011,Customer 1,Sales Channel 1,60011,Private Label Chicken Ham 1Kg,1330.08,2020-01-01,1
100011,Customer 1,Sales Channel 1,50016,Pork Hot Dog 205G,1203.34,2020-01-01,1
100011,Customer 1,Sales Channel 1,50017,Chicken Hot Dog 205G,1358.25,2020-01-01,1
100011,Customer 1,Sales Channel 1,50018,Children Hot Dog 205G,1934.89,2020-01-01,1
100011,Customer 1,Sales Channel 1,60016,Private Label Pork Hot Dog 205G,1285.04,2020-01-01,1
100011,Customer 1,Sales Channel 1,60017,Private Label Chicken Hot Dog 205G,1174.93,2020-01-01,1
100011,Customer 1,Sales Channel 1,60018,Private Label Children Hot Dog 205G,1666.73,2020-01-01,1
100011,Customer 1,Sales Channel 1,50001,Pork Baloney 1Kg,999.93,2020-01-01,1
100011,Customer 1,Sales Channel 1,50002,Chicken Baloney 1Kg,1489.44,2020-01-01,1
100011,Customer 1,Sales Channel 1,50003,French Baloney 1Kg,1825.36,2020-01-01,1
100011,Customer 1,Sales Channel 1,50004,Alps Sausage 1Kg,1487.13,2020-01-01,1
100011,Customer 1,Sales Channel 1,60001,Private Label Pork Baloney 1Kg,1307.77,2020-01-01,1
100011,Customer 1,Sales Channel 1,60002,Private Label Chicken Baloney 1Kg,1793.49,2020-01-01,1
100011,Customer 1,Sales Channel 1,60003,Private Label French Baloney 1Kg,1612.97,2020-01-01,1
100011,Customer 1,Sales Channel 1,60004,Private Label Alps Sausage 1Kg,1264.61,2020-01-01,1
100011,Customer 1,Sales Channel 1,50019,Homemade Sausage 310G,1417.87,2020-01-01,1
100011,Customer 1,Sales Channel 1,50020,Austrian Sausage 310G,1261.73,2020-01-01,1
100011,Customer 1,Sales Channel 1,50021,Bavarian Sausage 310G,1583.15,2020-01-01,1
100011,Customer 1,Sales Channel 1,50022,Grill Sausage 280G,1355.36,2020-01-01,1
100011,Customer 1,Sales Channel 1,50023,Chilli Sausage 230G,1231.92,2020-01-01,1
100011,Customer 1,Sales Channel 1,60019,Private Label Homemade Sausage 310G,1136.38,2020-01-01,1
100011,Customer 1,Sales Channel 1,60020,Private Label Austrian Sausage 310G,1204.33,2020-01-01,1
100011,Customer 1,Sales Channel 1,60021,Private Label Bavarian Sausage 310G,1586.04,2020-01-01,1
100011,Customer 1,Sales Channel 1,60022,Private Label Grill Sausage 280G,763.99,2020-01-01,1
100011,Customer 1,Sales Channel 1,60023,Private Label Chilli Sausage 230G,1495.62,2020-01-01,1
100011,Customer 1,Sales Channel 1,50005,Pork Baloney 350G,1460.93,2020-01-01,1
100011,Customer 1,Sales Channel 1,50006,Chicken Baloney 350G,847.16,2020-01-01,1
100011,Customer 1,Sales Channel 1,50007,French Baloney 350G,1242.71,2020-01-01,1
100011,Customer 1,Sales Channel 1,50008,Alps Sausage 350G,1299.20,2020-01-01,1
100011,Customer 1,Sales Channel 1,50010,Pork Ham 350G,1685.68,2020-01-01,1
100011,Customer 1,Sales Channel 1,50012,Chicken Ham 350G,1335.77,2020-01-01,1
100011,Customer 1,Sales Channel 1,60005,Private Label Pork Baloney 350G,1499.48,2020-01-01,1
100011,Customer 1,Sales Channel 1,60006,Private Label Chicken Baloney 350G,1701.41,2020-01-01,1
100011,Customer 1,Sales Channel 1,60007,Private Label French Baloney 350G,1128.16,2020-01-01,1
100011,Customer 1,Sales Channel 1,60008,Private Label Alps Sausage 350G,1249.13,2020-01-01,1
100011,Customer 1,Sales Channel 1,60010,Private Label Pork Ham 350G,1375.12,2020-01-01,1
100011,Customer 1,Sales Channel 1,60012,Private Label Chicken Ham 350G,1050.25,2020-01-01,1
100011,Customer 1,Sales Channel 1,50013,Pork Neck 1Kg,1573.27,2020-01-01,1
100011,Customer 1,Sales Channel 1,50014,Pork Back 1Kg,1437.30,2020-01-01,1
100011,Customer 1,Sales Channel 1,50015,Bacon 1Kg,1284.71,2020-01-01,1
100011,Customer 1,Sales Channel 1,60013,Private Label Pork Neck 1Kg,1416.79,2020-01-01,1
100011,Customer 1,Sales Channel 1,60014,Private Label Pork Back 1Kg,1282.98,2020-01-01,1
100011,Customer 1,Sales Channel 1,60015,Private Label Bacon 1Kg,1101.38,2020-01-01,1
100011,Customer 1,Sales Channel 1,70001,Liver Pate 50G,293.97,2020-02-01,2
100011,Customer 1,Sales Channel 1,70002,Ham Pate 50G,311.00,2020-02-01,2
100011,Customer 1,Sales Channel 1,70003,Cajna Pate 50G,267.21,2020-02-01,2
100011,Customer 1,Sales Channel 1,70004,Chicken Pate 50G,256.18,2020-02-01,2
100011,Customer 1,Sales Channel 1,70005,Tuna Pate 50G,225.67,2020-02-01,2
100011,Customer 1,Sales Channel 1,70006,Fish Pate 50G,264.98,2020-02-01,2
100011,Customer 1,Sales Channel 1,70007,Chili Pate 50G,332.51,2020-02-01,2
100011,Customer 1,Sales Channel 1,70008,Liver Pate 75G,299.93,2020-02-01,2
100011,Customer 1,Sales Channel 1,70009,Ham Pate 75G,298.33,2020-02-01,2
100011,Customer 1,Sales Channel 1,70010,Cajna Pate 75G,190.46,2020-02-01,2
100011,Customer 1,Sales Channel 1,70011,Chicken Pate 75G,330.43,2020-02-01,2
100011,Customer 1,Sales Channel 1,70012,Tuna Pate 75G,304.24,2020-02-01,2
100011,Customer 1,Sales Channel 1,70013,Fish Pate 75G,343.64,2020-02-01,2
100011,Customer 1,Sales Channel 1,70014,Chili Pate 75G,192.83,2020-02-01,2
100011,Customer 1,Sales Channel 1,70041,Spam 100G,195.66,2020-02-01,2
100011,Customer 1,Sales Channel 1,70043,Chicken Spam 100G,281.44,2020-02-01,2
100011,Customer 1,Sales Channel 1,80001,Private Label Liver Pate 50G,236.72,2020-02-01,2
100011,Customer 1,Sales Channel 1,80002,Private Label Ham Pate 50G,249.44,2020-02-01,2
100011,Customer 1,Sales Channel 1,80003,Private Label Cajna Pate 50G,256.06,2020-02-01,2
100011,Customer 1,Sales Channel 1,80004,Private Label Chicken Pate 50G,355.48,2020-02-01,2
100011,Customer 1,Sales Channel 1,80005,Private Label Tuna Pate 50G,231.37,2020-02-01,2
100011,Customer 1,Sales Channel 1,80006,Private Label Fish Pate 50G,287.20,2020-02-01,2
100011,Customer 1,Sales Channel 1,80007,Private Label Chili Pate 50G,258.48,2020-02-01,2
100011,Customer 1,Sales Channel 1,80008,Private Label Liver Pate 75G,258.34,2020-02-01,2
100011,Customer 1,Sales Channel 1,80009,Private Label Ham Pate 75G,334.65,2020-02-01,2
100011,Customer 1,Sales Channel 1,80010,Private Label Cajna Pate 75G,277.45,2020-02-01,2
100011,Customer 1,Sales Channel 1,80011,Private Label Chicken Pate 75G,300.30,2020-02-01,2
100011,Customer 1,Sales Channel 1,80012,Private Label Tuna Pate 75G,206.23,2020-02-01,2
100011,Customer 1,Sales Channel 1,80013,Private Label Fish Pate 75G,341.66,2020-02-01,2
100011,Customer 1,Sales Channel 1,80014,Private Label Chili Pate 75G,246.46,2020-02-01,2
100011,Customer 1,Sales Channel 1,80041,Private Label Spam 100G,244.06,2020-02-01,2
100011,Customer 1,Sales Channel 1,80043,Private Label Chicken Spam 100G,274.32,2020-02-01,2
100011,Customer 1,Sales Channel 1,70015,Liver Pate 95G,269.13,2020-02-01,2
100011,Customer 1,Sales Channel 1,70016,Ham Pate 95G,235.31,2020-02-01,2
100011,Customer 1,Sales Channel 1,70017,Cajna Pate 95G,268.09,2020-02-01,2
100011,Customer 1,Sales Channel 1,70018,Chicken Pate 95G,288.69,2020-02-01,2
100011,Customer 1,Sales Channel 1,70019,Tuna Pate 95G,238.39,2020-02-01,2
100011,Customer 1,Sales Channel 1,70020,Fish Pate 95G,279.48,2020-02-01,2
100011,Customer 1,Sales Channel 1,70021,Chili Pate 95G,271.68,2020-02-01,2
100011,Customer 1,Sales Channel 1,70022,Liver Pate 150G,307.97,2020-02-01,2
100011,Customer 1,Sales Channel 1,70023,Ham Pate 150G,394.13,2020-02-01,2
100011,Customer 1,Sales Channel 1,70024,Cajna Pate 150G,255.31,2020-02-01,2
100011,Customer 1,Sales Channel 1,70025,Chicken Pate 150G,303.73,2020-02-01,2
100011,Customer 1,Sales Channel 1,70026,Tuna Pate 150G,288.46,2020-02-01,2
100011,Customer 1,Sales Channel 1,70027,Fish Pate 150G,311.04,2020-02-01,2
100011,Customer 1,Sales Channel 1,70028,Chili Pate 150G,165.96,2020-02-01,2
100011,Customer 1,Sales Channel 1,70042,Spam 150G,314.08,2020-02-01,2
100011,Customer 1,Sales Channel 1,70044,Beef Spam 150G,313.34,2020-02-01,2
100011,Customer 1,Sales Channel 1,80015,Private Label Liver Pate 95G,277.15,2020-02-01,2
100011,Customer 1,Sales Channel 1,80016,Private Label Ham Pate 95G,321.48,2020-02-01,2
100011,Customer 1,Sales Channel 1,80017,Private Label Cajna Pate 95G,275.70,2020-02-01,2
100011,Customer 1,Sales Channel 1,80018,Private Label Chicken Pate 95G,168.58,2020-02-01,2
100011,Customer 1,Sales Channel 1,80019,Private Label Tuna Pate 95G,278.79,2020-02-01,2
100011,Customer 1,Sales Channel 1,80020,Private Label Fish Pate 95G,263.86,2020-02-01,2
100011,Customer 1,Sales Channel 1,80021,Private Label Chili Pate 95G,206.10,2020-02-01,2
100011,Customer 1,Sales Channel 1,80022,Private Label Liver Pate 150G,262.04,2020-02-01,2
100011,Customer 1,Sales Channel 1,80023,Private Label Ham Pate 150G,332.31,2020-02-01,2
100011,Customer 1,Sales Channel 1,80024,Private Label Cajna Pate 150G,326.73,2020-02-01,2
100011,Customer 1,Sales Channel 1,80025,Private Label Chicken Pate 150G,257.40,2020-02-01,2
100011,Customer 1,Sales Channel 1,80026,Private Label Tuna Pate 150G,253.39,2020-02-01,2
100011,Customer 1,Sales Channel 1,80027,Private Label Fish Pate 150G,313.11,2020-02-01,2
100011,Customer 1,Sales Channel 1,80028,Private Label Chili Pate 150G,251.03,2020-02-01,2
100011,Customer 1,Sales Channel 1,80042,Private Label Spam 150G,311.73,2020-02-01,2
100011,Customer 1,Sales Channel 1,80044,Private Label Beef Spam 150G,267.04,2020-02-01,2
100011,Customer 1,Sales Channel 1,70029,Beans With Sausages 400G,197.15,2020-02-01,2
100011,Customer 1,Sales Channel 1,70030,Beans With Bacon 400G,348.14,2020-02-01,2
100011,Customer 1,Sales Channel 1,70031,Lean Beans 400G,229.07,2020-02-01,2
100011,Customer 1,Sales Channel 1,70032,Sarma 400G,271.76,2020-02-01,2
100011,Customer 1,Sales Channel 1,70033,Lean Sarma 400G,364.01,2020-02-01,2
100011,Customer 1,Sales Channel 1,70034,Spaghetti Sauce 400G,208.25,2020-02-01,2
100011,Customer 1,Sales Channel 1,70035,Stuffed Paprika 400G,192.51,2020-02-01,2
100011,Customer 1,Sales Channel 1,70036,Mexican Dish 400G,355.84,2020-02-01,2
100011,Customer 1,Sales Channel 1,70037,Indian Dish 400G,221.79,2020-02-01,2
100011,Customer 1,Sales Channel 1,70038,Carbonara 400G,263.25,2020-02-01,2
100011,Customer 1,Sales Channel 1,70039,Beef Gulash 400G,381.48,2020-02-01,2
100011,Customer 1,Sales Channel 1,70040,Pork Gulash 400G,245.40,2020-02-01,2
100011,Customer 1,Sales Channel 1,80029,Private Label Beans With Sausages 400G,218.21,2020-02-01,2
100011,Customer 1,Sales Channel 1,80030,Private Label Beans With Bacon 400G,231.66,2020-02-01,2
100011,Customer 1,Sales Channel 1,80031,Private Label Lean Beans 400G,232.89,2020-02-01,2
100011,Customer 1,Sales Channel 1,80032,Private Label Sarma 400G,250.64,2020-02-01,2
100011,Customer 1,Sales Channel 1,80033,Private Label Lean Sarma 400G,264.62,2020-02-01,2
100011,Customer 1,Sales Channel 1,80034,Private Label Spaghetti Sauce 400G,229.52,2020-02-01,2
100011,Customer 1,Sales Channel 1,80035,Private Label Stuffed Paprika 400G,277.87,2020-02-01,2
100011,Customer 1,Sales Channel 1,80036,Private Label Mexican Dish 400G,244.77,2020-02-01,2
100011,Customer 1,Sales Channel 1,80037,Private Label Indian Dish 400G,258.81,2020-02-01,2
100011,Customer 1,Sales Channel 1,80038,Private Label Carbonara 400G,223.27,2020-02-01,2
100011,Customer 1,Sales Channel 1,80039,Private Label Beef Gulash 400G,274.96,2020-02-01,2
100011,Customer 1,Sales Channel 1,80040,Private Label Pork Gulash 400G,249.83,2020-02-01,2
100011,Customer 1,Sales Channel 1,50028,Budimska Rf 1Kg,56.11,2020-02-01,2
100011,Customer 1,Sales Channel 1,50029,Budimska Slice 100G,100.02,2020-02-01,2
100011,Customer 1,Sales Channel 1,50030,B Budimska Rf 1Kg,57.56,2020-02-01,2
100011,Customer 1,Sales Channel 1,50031,B Budimska Slice 250G,45.72,2020-02-01,2
100011,Customer 1,Sales Channel 1,60028,Private Label Budimska Rf 1Kg,66.22,2020-02-01,2
100011,Customer 1,Sales Channel 1,60029,Private Label Budimska Slice 100G,62.85,2020-02-01,2
100011,Customer 1,Sales Channel 1,60030,Private Label B Budimska Rf 1Kg,52.85,2020-02-01,2
100011,Customer 1,Sales Channel 1,60031,Private Label B Budimska Slice 250G,79.78,2020-02-01,2
100011,Customer 1,Sales Channel 1,50024,Cajna Rf 1Kg,62.57,2020-02-01,2
100011,Customer 1,Sales Channel 1,50025,Cajna Slice 100G,50.91,2020-02-01,2
100011,Customer 1,Sales Channel 1,50026,B Cajna Rf 1Kg,71.60,2020-02-01,2
100011,Customer 1,Sales Channel 1,50027,B Cajna Slice 250G,63.92,2020-02-01,2
100011,Customer 1,Sales Channel 1,60024,Private Label Cajna Rf 1Kg,69.65,2020-02-01,2
100011,Customer 1,Sales Channel 1,60025,Private Label Cajna Slice 100G,54.96,2020-02-01,2
100011,Customer 1,Sales Channel 1,60026,Private Label B Cajna Rf 1Kg,43.23,2020-02-01,2
100011,Customer 1,Sales Channel 1,60027,Private Label B Cajna Slice 250G,68.04,2020-02-01,2
100011,Customer 1,Sales Channel 1,50036,Pancetta 1Kg,55.81,2020-02-01,2
100011,Customer 1,Sales Channel 1,50037,Pancetta Slice 100G,55.81,2020-02-01,2
100011,Customer 1,Sales Channel 1,60036,Private Label Pancetta 1Kg,67.25,2020-02-01,2
100011,Customer 1,Sales Channel 1,60037,Private Label Pancetta Slice 100G,71.09,2020-02-01,2
100011,Customer 1,Sales Channel 1,50038,Smoked Pork Back 100G,45.10,2020-02-01,2
100011,Customer 1,Sales Channel 1,60038,Private Label Smoked Pork Back 100G,50.77,2020-02-01,2
100011,Customer 1,Sales Channel 1,50032,Kulen Rf 1Kg,84.10,2020-02-01,2
100011,Customer 1,Sales Channel 1,50033,Kulen Slice 100G,70.60,2020-02-01,2
100011,Customer 1,Sales Channel 1,50034,B Kulen Rf 1Kg,47.46,2020-02-01,2
100011,Customer 1,Sales Channel 1,50035,B Kulen Slice 250G,90.36,2020-02-01,2
100011,Customer 1,Sales Channel 1,60032,Private Label Kulen Rf 1Kg,73.65,2020-02-01,2
100011,Customer 1,Sales Channel 1,60033,Private Label Kulen Slice 100G,76.03,2020-02-01,2
100011,Customer 1,Sales Channel 1,60034,Private Label B Kulen Rf 1Kg,68.13,2020-02-01,2
100011,Customer 1,Sales Channel 1,60035,Private Label B Kulen Slice 250G,79.08,2020-02-01,2
100011,Customer 1,Sales Channel 1,50039,Rustik 1Kg,67.12,2020-02-01,2
100011,Customer 1,Sales Channel 1,50040,Rustik Slice 100G,70.13,2020-02-01,2
100011,Customer 1,Sales Channel 1,60039,Private Label Rustik 1Kg,48.46,2020-02-01,2
